"A06.2";"Colitis amoebica non dysenterica";;;;;"Nedizenterièko zapaljenje debelog creva uzrokovano amebama";;"4";;;
"A06.3";"Amoeboma intestinale";;;;;"Amebom,tumor creva uzrokovan amebama";;"4";;;
"A06.4";"Abscessus hepatis amoebicus";;;;;"Zagnoj jetre uzrokovan amebama";;"4";;;
"A06.5+";"Abscessus pulmonis amoebicus (J99.8*)";;;;;"Zagnoj pluæa uzrokovan amebama";;"4";;;
"A06.6+";"Abscessus cerebri amoebicus (G07*)";;;;;"Zagnoj mozga uzrokovan amebama";;"4";;;
"A06.7";"Amoebiasis cutanea";;;;;"Amebijaza ko¾e";;"4";;;
"A06.8";"Infectio amoebica loci alterius";;;;;"Infekcija druge lokalizacije uzrokovana amebama";;"4";;;
"A06.9";"Amoebiasis, non specificata";;;;;"Amebijaza, neoznaèena";;"4";;;
"A07.-";"Infectiones intestinales protozoicae aliae";;;;;"Druge infecije creva uzrokovane protozoama";;"3";;;
"A07.0";"Balantidiasis";;;;;"Balantidijaza, uzroènik Balantidium coli";;"4";;;
"A07.1";"Giardiasis (lambliasis)";;;;;"Gjardijaza, uzroènik Lamblia intestinalis";;"4";;;
"A07.2";"Cryptosporidiasis";;;;;"Kriptosporidijaza, uzroènik Cryptosporidium";;"4";;;
"A07.3";"Isosporiasis";;;;;"Izosporijaza ,uzroènik Isospora belli et Isospora hominis";;"4";;;
"A07.8";"Infectiones intestinales protozoicae aliae,specificatae";;;;;"Druge oznaèene infekcije creva uzrokovane protozoama";;"4";;;
"A07.9";"Infectio intestinalis protozoica,non specificata";;;;;"Infekcije creva uzrokovane protozoama,neoznaèene";;"4";;;
"A08.-";"Infectiones intestinales virales";;;;;"Infekcije creva uzrokovane virusima";;"3";;;
"A08.0";"Enteritis rotaviralis";;;;;"Zapaljenje tankog creva uzrokovano rotavirusima";;"4";;;
"A08.1";"Gastroenteritis acuta Norwalk";;;;;"Akutno Norwalkovo zapaljenje ¾eluca i tankog creva";;"4";;;
"A08.2";"Enteritis adenoviralis";;;;;"Zapaljenje tankog creva uzrokovano adenovirusima";;"4";;;
"A08.3";"Enteritis viralis alia";;;;;"Druga zapaljenja tankog creva uzrokovana virusima";;"4";;;
"A08.4";"Infectio intestinalis viralis, non specificata";;;;;"Infekcija creva uzrokovana virusima,neoznaèena";;"4";;;
"A08.5";"Infectiones intestinales aliae,specificatae";;;;;"Druge oznaèene infekcije creva";;"4";;;
"A09.-";"Diarrhoea et gastroenteritis, causa infectionis suspecta";;;;;"Proliv i ¾eludaèno -crevno zapaljenje,verovatno zaraznog porekla";;"3";;;
"A15.-";"Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam confirmata";;;;;"Tuberkuloza organa za disanje potvrðena bakteriolo¹ki i histolo¹ki";;"3";;;
"A15.0";"Tuberculosis pulmonis, per microscopiam sputi confirmata";;;;;"Tuberkuloza pluæa,potvrðena mikroskopijom ispljuvka";;"4";;;
"A15.1";"Tuberculosis pulmonis, solum culture confirmata";;;;;"Tuberkuloza pluæa, potvrðena samo kulturom";;"4";;;
"A15.2";"Tuberculosis pulmonis, per histologiam confirmata";;;;;"Tuberkuloza pluæa, potvrðena histolo¹ki";;"4";;;
"A15.3";"Tuberculosis pulmonis, methodis non specificatis confirmata";;;;;"Tuberkuloza pluæa, potvrðena neoznaèenim metodama";;"4";;;
"A15.4";"Tuberculosis lymphonodorum intrathoracalium,per bacteriologiam et histologiam confirmata";;;;;"Tuberkuloza limfnih èvorova u grudnom ko¹u,potvrðena bakteriolo¹ki i histolo¹ki";;"4";;;
"A15.5";"Tuberculosis laryngis, tracheae et bronchi,per bacteriologiam et histologiam confirmata";;;;;"Tuberkuloza grkljana,du¹nika i du¹nice,potvrðena bakteriolo¹ki i histolo¹ki";;"4";;;
"A15.6";"Pleuritis tuberculosa,per bacteriologiam et histologiam confirmata";;;;;"Tuberkulozno zapaljenje porebrice,potvrðeno bakteriolo¹ki i histolo¹ki.";;"4";;;
"A15.7";"Tuberculosis pulmonis primaria, per bacteriologiam et histologiam confirmata";;;;;"Primarna tuberkuloza pluæa,potvrðena bakteriolo¹ki i histolo¹ki";;"4";;;
"A15.8";"Tuberculosis pulmonis,per bacteriologiam et histologiam confirmata alia";;;;;"Druga tuberkuloza pluæa,potvrðena bakteriolo¹ki i histolo¹ki";;"4";;;
"A15.9";"Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam confirmata,non specificata";;;;;"Tuberkuloza organa za disanje,potvrðena bakteriolo¹ki i histolo¹ki ,neoznaèena";;"4";;;
"A16.-";"Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam non confirmata";;;;;"Tuberkuloza organa za disanje,nepotvrðena bakteriolo¹ki i histolo¹ki";;"3";;;
"A16.0";"Tuberculosis pulmonis, bacteriologice et histologice negativa";;;;;"Tuberkuloza pluæa, bakteriolo¹ki i histolo¹ki negativna";;"4";;;
"A16.1";"Tuberculosis pulmonis, sine exploratione bacteriologica et histologica";;;;;"Tuberkuloza pluæa,bez bakteriolo¹kog i histolo¹kog ispitivanja";;"4";;;
"A16.2";"Tuberculosis pulmonis,sine confirmatione bacteriologica sive histologica";;;;;"Tuberkuloza pluæa, bez bakteriolo¹ke ili histolo¹ke potvrde";;"4";;;
"A16.3";"Tuberculosis lymphonodorum intrathoracalium";;;;;"Tuberkuloza limfnih èvorova u grudnom ko¹u";;"4";;;
"A16.4";"Tuberculosis laryngis, tracheae et bronchi";;;;;"Tuberkuloza grkljana,du¹nika i du¹nice";;"4";;;
"A16.5";"Pleuritis tuberculosa";;;;;"Tuberkulozno zapaljenje porebrice";;"4";;;
"A16.7";"Tuberculosis pulmonis primaria";;;;;"Primarna tuberkuloza pluæa";;"4";;;
"A16.8";"Tuberculosis organorum respiratoriorum alia";;;;;"Druga tuberkuloza organa za disanje";;"4";;;
"A16.9";"Tuberculosis organorum respiratoriorum,non specificata";;;;;"Tuberkuloza organa za disanje, neoznaèena";;"4";;;
"A17.-+";"Meningitis tuberculosa (G01*)";;;;;"Tuberkuloza nervnog sistema";;"3";;;
"A17.0+";"Tuberculoma meningium (G07*)";;;;;"Tuberkulozno zapaljenje mo¾danica";;"4";;;
"A17.1+";"Tuberculosis systematis nervosi alia";;;;;"Tuberkulozni èvoriæ mo¾danica";;"4";;;
"A17.8+";"Tuberculosis systematis nervosi, nonspecificata";;;;;"Druga tuberkuloza nervnog sistema";;"4";;;
"A17.9+";"Tuberculosis systematis nervosi";;;;;"Tuberkuloza nervnog sistema, neoznaèena";;"4";;;
"A18.-";"Tuberculosis organorum aliorum";;;;;"Tuberkuloza drugih organa";;"3";;;
"A18.0+";"Tuberculosis ossium et articulorum";;;;;"Tuberkuloza kostiju i zglobova";;"4";;;
"A18.1+";"Tuberculosis systematis genitourinarii";;;;;"Tuberkuloza polno-mokraænog sistema";;"4";;;
"A18.2";"Tuberculosis lymphoglandularum peripherica";;;;;"Tuberkuloza perifernih limfnih èvorova";;"4";;;
"A18.3";"Tuberculosis glandularum intestinalium,peritonaealium et mesentericarum";;;;;"Tuberkuloza ¾lezda creva,trbu¹ne maramice i opornjaka";;"4";;;
"A18.4";"Tuberculosis cutis et subcutis";;;;;"Tuberkuloza ko¾e i potko¾nog tkiva";;"4";;;
"A18.5+";"Tuberculosis oculi";;;;;"Tuberkuloza oka";;"4";;;
"A18.6+";"Tuberculosis auris";;;;;"Tuberkuloza uva";;"4";;;
"A18.7+";"Tubercuiosis glandularum suprarenalium";;;;;"Tuberkuloza nadbubre¾nih ¾lezda";;"4";;;
"A18.8+";"Tuberculosis organorum ailorum,specificatorum";;;;;"Tuberkuloza drugih oznaèenih organa";;"4";;;
"A19.-";"Tuberculosis miliaris";;;;;"Rasejana tuberkuloza";;"3";;;
"A19.0";"Tuberculosis miliaris acuta, loci specificati";;;;;"Akutna rasejana tuberkuloza, oznaèene lokalizacije";;"4";;;
"A19.1";"Tuberculosis miliaris acuta, locorum multiplicum";;;;;"Akutna rasejana tuberkuloza ,vi¹estrukih lokalizacija";;"4";;;
"A19.2";"Tuberculosis miliaris acuta, non specificata";;;;;"Akutna rasejana tuberkuloza, neoznaèena";;"4";;;
"A19.8";"Tuberculosis miliaris alia";;;;;"Druga rasejana tuberkuloza";;"4";;;
"A19.9";"Tuberculosis miliaris, non specificata";;;;;"Rasejana tuberkuloza, neoznaèena";;"4";;;
"A20.-";"Pestis";;;;;"Kuga";;"3";;;
"A20.0";"Pestis bubonica";;;;;"Kuga èvorova prepona";;"4";;;
"A20.1";"Pestis cellulocutanea";;;;;"Kuga ko¾e";;"4";;;
"A20.2";"Pestis pneumonica";;;;;"Kuga pluæa";;"4";;;
"A20.3";"Meningitis pestica";;;;;"Zapaljenje mo¾danica uzrokovano kugom";;"4";;;
"A20.7";"Pestis septica";;;;;"Sepsa uzrokovana kugom";;"4";;;
"A20.8";"Pestis, formae aliae";;;;;"Drugi oblici kuge";;"4";;;
"A20.9";"Pestis, non specificata";;;;;"Kuga, neoznaèena";;"4";;;
"A21.-";"Tularaemia";;;;;"Tularemija - Kuga glodara";;"3";;;
"A21.0";"Tularaemia ulceroglandularis";;;;;"Ulcerozna tularemija ¾lezda";;"4";;;
"A21.1";"Tularaemia oculoglandularis";;;;;"Tularemija ¾lezda oka";;"4";;;
"A21.2";"Tularaemia pulmonalis";;;;;"Tularemija pluæa";;"4";;;
"A21.3";"Tularaemia gastrointestinalis";;;;;"Tularemija ¾eluca i creva";;"4";;;
"A21.7";"Tularaemia generalisata";;;;;"Generalizovana tularemija";;"4";;;
"A21.8";"Tularaemia, formae aliae";;;;;"Drugi oblici tularemije";;"4";;;
"A21.9";"Tularaemia, non specificata";;;;;"Tularemija, neoznaèena";;"4";;;
"A22.-";"Anthrax";;;;;"Antraks - Crni pri¹t";;"3";;;
"A22.0";"Anthrax cutaneus";;;;;"Antraks ko¾e";;"4";;;
"A22.1";"Anthrax pulmonalis";;;;;"Antraks pluæa";;"4";;;
"A22.2";"Anthrax gastrointestinalis";;;;;"Antraks ¾eluca i creva";;"4";;;
"A22.3";"Anthrax septicus";;;;;"Sepsa - trovanje uzrokovano antraksom";;"4";;;
"A22.8";"Anthrax, formae aliae";;;;;"Drugi oblici antraksa";;"4";;;
"A22.9";"Anthrax, non specificatus";;;;;"Antraks, neoznaèen";;"4";;;
"A23.-";"Brucellosis";;;;;"Bruceloza - Mediteranska groznica";;"3";;;
"A23.0";"Brucellosis per Brucellam melitensem";;;;;"Bruceloza, uzroènik Brucella melitensis";;"4";;;
"A23.1";"Brucellosis per Brucellam abortus";;;;;"Bruceloza, uzroènik Brucella abortus";;"4";;;
"A23.2";"Brucellosis per Brucellam suis";;;;;"Bruceloza, uzroènik Brucella suis";;"4";;;
"A23.3";"Brucellosis per Brucellam canis";;;;;"Bruceloza, uzroènik Brucella canis";;"4";;;
"A23.8";"Brucellosis alia";;;;;"Druga bruceloza";;"4";;;
"A23.9";"Brucellosis, non specificata";;;;;"Bruceloza, neoznaèena";;"4";;;
"A24.-";"Malleus et melioidosis";;;;;"Sakagija i Melioidoza ,uzroènik Pseudomonas pseudomallei";;"3";;;
"A24.0";"Malleus";;;;;"Sakagija";;"4";;;
"A24.1";"Melioidosis acuta et fulminans";;;;;"Akutna i perakutna melioidoza";;"4";;;
"A24.2";"Melioidosis subacuta et chronica";;;;;"Subakutna i hronièna melioidoza";;"4";;;
"A24.3";"Melioidosis alia";;;;;"Druga melioidoza";;"4";;;
"A24.4";"Melioidosis, non specificata";;;;;"Melioidoza, neoznaèena";;"4";;;
"A25.-";"Febris post morsum muris";;;;;"Groznica posle ujeda mi¹a";;"3";;;
"A25.0";"Spirillosis";;;;;"Spiriloza uzrokovana spirilama";;"4";;;
"A25.1";"Streptobacillosis";;;;;"Streptobaciloza uzrokovana streptokokom";;"4";;;
"A25.9";"Febris post morsum muris, non specificata";;;;;"Groznica posle ujeda mi¹a, neoznaèena";;"4";;;
"A26.-";"Erysipeloides";;;;;"Erizipeloid - Oboljenje  slièno crvenom vetru";;"3";;;
"A26.0";"Erysipeloides cutaneus";;;;;"Erizipeloid ko¾e";;"4";;;
"A26.7";"Erysipeloides septicus";;;;;"Erizipeloidna sepsa";;"4";;;
"A26.8";"Erysipeloides, formae aliae";;;;;"Drugi oblici erizipeloida";;"4";;;
"A26.9";"Erysipeloides, non specificatus";;;;;"Erizipeloid, neoznaèen";;"4";;;
"A27.-";"Leptospirosis";;;;;"Leptospiroza,uzroènik Leptospira interrogans";;"3";;;
"A27.0";"Leptospirosis icterohaemorrhagica";;;;;"Leptospiroza sa ¾uticom i krvarenjima";;"4";;;
"A27.8";"Leptospirosis, formae aliae";;;;;"Drugi oblici leptospiroze";;"4";;;
"A27.9";"Leptospirosis, non specificata";;;;;"Leptospiroza, neoznaèena";;"4";;;
"A28.-";"Zoonoses bacteriales aliae";;;;;"Druge zoonoze";;"3";;;
"A28.0";"Pasteurellosis";;;;;"Pastereloza, uzroènik Pasteurellae";;"4";;;
"A28.1";"Morbus post excoriationem felis";;;;;"Bolest posle maèije ogrebotine";;"4";;;
"A28.2";"Yersiniosis extraintestinalis";;;;;"Jersinioza,vancrevna ,uzroènik Yersinia enterocolitica";;"4";;;
"A28.8";"Zoonoses bacteriales aliae, specificatae";;;;;"Druge oznaèene zoonoze";;"4";;;
"A28.9";"Zoonosis bacterialis, non specificata";;;;;"Zoonoza, neoznaèena";;"4";;;
"A30.-";"Lepra (Morbus Hansen)";;;;;"Guba - Hansenova bolest";;"3";;;
"A30.0";"Lepra indefinita";;;;;"Guba, neodreðena";;"4";;;
"A30.1";"Lepra tuberculoides";;;;;"Tuberkuloidna guba";;"4";;;
"A30.2";"Lepra tuberculoides limitans";;;;;"Granièna tuberkuloidna guba";;"4";;;
"A30.3";"Lepra limitans (borderline)";;;;;"Granièna guba";;"4";;;
"A30.4";"Lepra lepromatosa limitans (borderline)";;;;;"Granièna lepromatozna guba";;"4";;;
"A30.5";"Lepra lepromatosa";;;;;"Lepromatozna guba";;"4";;;
"A30.8";"Lepra, formae aliae";;;;;"Drugi oblici gube";;"4";;;
"A30.9";"Lepra, non specificata";;;;;"Guba, neoznaèena";;"4";;;
"A31.-";"Morbi mycobacteriales alii";;;;;"Druge bolesti uzrokovane mikobakterijama";;"3";;;
"A31.0";"Infectio pulmonalis per mycobacterium";;;;;"Infekcija pluæa uzrokovana mikobakterijama";;"4";;;
"A31.1";"Infectio cutanea mycobacterialis";;;;;"Infekcija ko¾e uzrokovana mikobakterijama";;"4";;;
"A31.8";"Infectiones mycobacteriales aliae";;;;;"Druge infekcije uzrokovane mikobakterijama";;"4";;;
"A31.9";"Infectio mycobacterialis,non specificata";;;;;"Infekcija uzrokovana mikobakterijama ,neoznaèena";;"4";;;
"A32.-";"Listeriosis";;;;;"Listerioza,uzroènik Listeria monocytogenes";;"3";;;
"A32.0";"Listeriosis cutanea";;;;;"Listerioza ko¾e";;"4";;;
"A32.1+";"Meningitis et meningoencephalitis listerialis";;;;;"Zapaljenje mo¾danica i mo¾danica sa mozgom uzrokovano listeriozom";;"4";;;
"A32.7";"Listeriosis septica";;;;;"Listeriozna sepsa";;"4";;;
"A32.8";"Listeriosis, formae aliae";;;;;"Drugi oblici listerioze";;"4";;;
"A32.9";"Listeriosis,non specificata";;;;;"Listerioza, neoznaèena";;"4";;;
"A33.-";"Tetanus neonati";;;;;"Tetanus novoroðenèeta";;"3";;;
"A34.-";"Tetanus puerperalis";;;;;"Poroðajni tetanus";;"3";;;
"A35.-";"Tetanus alius";;;;;"Drugi tetanus";;"3";;;
"A36.-";"Diphtheria";;;;;"Difterija, - Gu¹obolja (te¹ka)";;"3";;;
"A36.0";"Diphtheria pharyngica";;;;;"Difterija ¾drela";;"4";;;
"A36.1";"Diphtheria nasopharyngica";;;;;"Difterija nosa i ¾drela";;"4";;;
"A36.2";"Diphtheria laryngica";;;;;"Difterija grkljana";;"4";;;
"A36.3";"Diphtheria cutanea";;;;;"Difterija ko¾e";;"4";;;
"A36.8";"Diphtheria alia";;;;;"Druga difterija";;"4";;;
"A36.9";"Diphtheria, non specificata";;;;;"Difterija, neoznaèena";;"4";;;
"A37.-";"Pertussis";;;;;"Veliki ka¹alj";;"3";;;
"A37.0";"Pertussis";;;;;"Veliki ka¹alj , uzroènik  Bordetella pertussis";;"4";;;
"A37.1";"Parapertussis per Bordetellam parapertussis";;;;;"Ka¹alj, uzroènik  Bordetella parapertussis";;"4";;;
"A37.8";"Parapertussis per Bordetellam speciei alterius";;;;;"Ka¹alj,uzroènik Bordetella druge vrste";;"4";;;
"A37.9";"Pertussis, non specificata";;;;;"Veliki ka¹alj, neoznaèen";;"4";;;
"A38.-";"Scarlatina";;;;;"©arlah";;"3";;;
"A39.-";"Infectio meningococcica";;;;;"Infekcija uzrokovana meningokokom";;"3";;;
"A39.0+";"Meningitis meningococcica (G01*)";;;;;"Zapaljenje mo¾danica uzrokovano meningokokom";;"4";;;
"A39.1+";"Syndroma Waterhouse - Friderichsen (E35.1*)";;;;;"Sindrom Waterhouse - Friderichsen";;"4";;;
"A39.2";"Sepsis meningococcica acuta";;;;;"Akutna sepsa - trovanje uzrokovano meningokokom";;"4";;;
"A39.3";"Meningococcaemia chronica";;;;;"Hronièna sepsa-trovanje uzrokovano meningokokom";;"4";;;
"A39.4";"Meningococcaemia, non specificata";;;;;"Sepsa-trovanje uzrokovano meningokokom, neoznaèena";;"4";;;
"A39.5+";"Morbus cordis meningococcica";;;;;"Bolest srca uzrokovana meningokokom";;"4";;;
"A39.8";"Infectiones meningococcicae aliae";;;;;"Druge infekcije uzrokovane meningokokom";;"4";;;
"A39.9";"Infectio meningococcica, non specificata";;;;;"Infekcija uzrokovana meningokokom,neoznaèena";;"4";;;
"A40.-";"Septicaemia streptococcica";;;;;"Sepsa - trovanje uzrokovano streptokokom";;"3";;;
"A40.0";"Septicaemia streptococcica A";;;;;"Sepsa uzrokovana streptokokom grupe A";;"4";;;
"A40.1";"Septicaemia streptococcica B";;;;;"Sepsa uzrokovana streptokokom grupe B";;"4";;;
"A40.2";"Septicaemia streptococcica D";;;;;"Sepsa uzrokovana streptokokom grupe D";;"4";;;
"A40.3";"Septicaemia pneumococcica";;;;;"Sepsa uzrokovana pneumokokom";;"4";;;
"A40.8";"Septicaemiae streptococcicae aliae";;;;;"Druge sepse uzrokovane streptokokom";;"4";;;
"A40.9";"Septicaemia streptococcica, non specificata";;;;;"Sepsa uzrokovana streptokokom, neoznaèena";;"4";;;
"A41.-";"Septicaemia alia";;;;;"Druge sepse - trovanja";;"3";;;
"A41.0";"Septicaemia staphylococcica";;;;;"Sepsa, uzroènik Staphylococcus aureus";;"4";;;
"A41.1";"Septicaemia staphylococcica alia,specificata";;;;;"Sepsa koju uzrokuje drugi oznaèeni stafilokok";;"4";;;
"A41.2";"Septicaemia staphylococcica, non specificata";;;;;"Neoznaèena sepsa uzrokovana stafilokokom";;"4";;;
"A41.3";"Septicaemia per Haemophilum influenzae";;;;;"Sepsa,uzroènik Haemophilus influenzee";;"4";;;
"A41.4";"Septicaemia anaerobica";;;;;"Sepsa uzrokovana anaerobnim bacilima";;"4";;;
"A41.5";"Septicaemia organismica per organismos Gramos-negativos alios";;;;;"Sepsa uzrokovana drugim Gram-negativnim organizmima";;"4";;;
"A41.8";"Septicaemia alia, specificata";;;;;"Druga oznaèena sepsa";;"4";;;
"A41.9";"Septicaemia, non specificata";;;;;"Sepsa, neoznaèena";;"4";;;
"A42.-";"Actinomycosis";;;;;"Aktinomikoza, uzroènik Actinomyces";;"3";;;
"A42.0";"Actinomycosis pulmonalis";;;;;"Aktinomikoza pluæa";;"4";;;
"A42.1";"Actinomycosis abdominalis";;;;;"Aktinomikoza trbuha";;"4";;;
"A42.2";"Actinomycosis cervicofacialis";;;;;"Aktinomikoza vrata i lica";;"4";;;
"A42.7";"Septicaemia actinomycotica";;;;;"Sepsa - trovanje uzrokovano aktinomicesom";;"4";;;
"A42.8";"Actinomycosis, formae aliae";;;;;"Drugi oblici aktinomikoze";;"4";;;
"A42.9";"Actinomycosis, non specificata";;;;;"Aktinomikoza, neoznaèena";;"4";;;
"A43.-";"Nocardiosis";;;;;"Nokardioza, uzroènik Nocardia";;"3";;;
"A43.1";"Nocardiosis pulmonalis";;;;;"Nokardioza pluæa";;"4";;;
"A43.2";"Nocardiosis cutanea";;;;;"Nokardioza ko¾e";;"4";;;
"A43.8";"Nocardiosis, formae aliae";;;;;"Drugi oblici nokardioze";;"4";;;
"A43.9";"Nocardiosis, non specificata";;;;;"Nokardioza, neoznaèena";;"4";;;
"A44.-";"Bartonellosis";;;;;"Bartoneloza, uzroènik Bartonella";;"3";;;
"A44.0";"Bartonellosis systematica";;;;;"Sistemska bartoneloza";;"4";;;
"A44.1";"Bartonellosis cutanea et mucocutanea";;;;;"Bartoneloza ko¾e i sluznice";;"4";;;
"A44.8";"Bartonellosis, formae aliae";;;;;"Drugi oblici bartoneloze";;"4";;;
"A44.9";"Bartonellosis, non specificata";;;;;"Bartoneloza, neoznaèena";;"4";;;
"A46.-";"Erysipelas";;;;;"Crveni vetar";;"3";;;
"A48.-";"Morbi bacteriales alii";;;;;"Druge bakterijske bolesti";;"3";;;
"A48.0";"Gas gangraena";;;;;"Gasna gangrena (trule¾no izumiranje tkiva)";;"4";;;
"A48.1";"Legionellosis";;;;;"Legioneloza, bolest legionara";;"4";;;
"A48.2";"Legionellosis extrapulmonalis";;;;;"Legioneloza lokalizovana izvan pluæa";;"4";;;
"A48.3";"Afflictus (shock) toxicus";;;;;"Toksièki ¹ok";;"4";;;
"A48.4";"Febris brasiliana purpurica";;;;;"Brazilska osipna groznica";;"4";;;
"A48.8";"Morbi bacteriales alii, specificati";;;;;"Druge oznaèene bakterijske bolesti";;"4";;;
"A49.-";"Infectio bacterialis, loci non specificati";;;;;"Bakterijska infekcija neoznaèene lokalizacije";;"3";;;
"A49.0";"Infectio staphylococcica";;;;;"Infekcija uzrokovana stafilokokom";;"4";;;
"A49.1";"Infectio streptococcica";;;;;"Infekcija uzrokovana streptokokom";;"4";;;
"A49.2";"Infectio per Haemophilum influenzae";;;;;"Infecija, uzroènik Haemophilus influenzae";;"4";;;
"A49.3";"Infectio mycoplasmatica";;;;;"Infekcija uzrokovana mikoplazmom";;"4";;;
"A49.8";"Infectiones bacteriales aliae";;;;;"Druge infecije uzrokovane bakterijama";;"4";;;
"A49.9";"Infectio bacterialis, non specificata";;;;;"Infekcija uzrokovana bakterijama, neoznaèena";;"4";;;
"A50.-";"Syphilis congenita";;;;;"Uroðeni sifilis";;"3";;;
"A50.0";"Syphilis symptomatica praecox congenita";;;;;"Rani uroðeni simptomatski sifilis";;"4";;;
"A50.1";"Syphilis praecox latensi congenita";;;;;"Rani uroðeni latentni sifilis";;"4";;;
